"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet","Digikey Part","DigiKey Part"
"U4,U5,U6","3","74LVC1T45W6-7","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","74LVC1T45W6-7DICT-ND"
"U3","1","XIAO-ESP32-C6-DIP","","","","","${EXCLUDE_FROM_POS_FILES}","Seeed Xiao:XIAO-ESP32-C6-DIP","","",""
"U2","1","TPP362083-T6TR","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:TSOT-23-6","https://static.3peak.com/res/doc/ds/Datasheet_TPP36208.pdf","","5503-TPP362081-T6TR"
"U1","1","TLV75733PDBV","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tlv757p.pdf","","296-50414"
"R2","1","15k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric","","",""
"R1","1","110k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric","","",""
"L1","1","4.7uH","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_Chilisin_BWVS00606045","https://www.vishay.com/docs/34083/ifsc-2020de-01.pdf","","541-IFSC2020DEER4R7M01CT-ND"
"J6","1","Conn_01x06","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","",""
"J3,J5","2","Conn_01x01","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","","",""
"J2,J4","2","Conn_01x08","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","",""
"J1","1","V_{IN}^{10-24V}","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"F1","1","YAGEO SMD1812B110TF/33","","","","","${EXCLUDE_FROM_POS_FILES}","Fuse:Fuse_1812_4532Metric","https://www.mouser.com/datasheet/3/508/1/SMD1812_1.pdf","","13-SMD1812B110TF/33"
"D1","1","D_Schottky","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.panjit.com.tw/upload/datasheet/SBA520AFC_SERIES.pdf","","3757-SBA520AFC_R1_00001"
"C5,C8","2","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C2,C3,C6,C7","4","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C1,C4","2","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
